TEAM,GAME,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,ELO
8,11,41,84,0.488,6,22,0.273,16,20,0.8,13,30,43,22,12,9,14,20,1588
8,12,45,87,0.517,8,14,0.571,20,28,0.714,14,32,46,28,11,3,17,16,1590
8,13,44,87,0.506,8,21,0.381,24,37,0.649,12,39,51,24,10,4,9,23,1598
8,14,47,96,0.49,6,20,0.3,14,15,0.933,17,28,45,23,8,9,10,8,1600
8,15,47,92,0.511,4,18,0.222,14,16,0.875,15,39,54,34,10,3,19,18,1604
8,16,39,76,0.513,6,19,0.316,33,45,0.733,8,33,41,18,10,5,16,23,1598
8,17,43,74,0.581,6,13,0.462,22,27,0.815,9,32,41,24,7,4,16,18,1605
8,18,37,74,0.5,10,20,0.5,22,31,0.71,11,27,38,25,8,4,15,18,1606
8,19,34,70,0.486,5,14,0.357,32,41,0.78,14,35,49,23,12,4,25,25,1608
8,20,35,87,0.402,9,24,0.375,22,26,0.846,15,28,43,22,4,7,16,23,1586
8,21,40,82,0.488,8,24,0.333,27,35,0.771,12,31,43,30,11,5,14,20,1589
8,22,42,84,0.5,7,15,0.467,21,35,0.6,10,36,46,23,7,4,11,24,1590
8,23,38,85,0.447,5,15,0.333,17,19,0.895,9,37,46,26,8,7,10,17,1590
8,24,45,95,0.474,6,23,0.261,20,25,0.8,15,34,49,30,9,5,11,17,1591
8,25,35,74,0.473,7,16,0.438,10,19,0.526,10,30,40,16,7,1,21,23,1586
8,26,36,87,0.414,7,21,0.333,24,25,0.96,10,30,40,14,8,2,9,30,1584
8,27,40,74,0.541,6,15,0.4,19,27,0.704,9,28,37,24,9,6,13,18,1590
8,28,33,75,0.44,6,15,0.4,28,32,0.875,11,28,39,17,7,6,11,21,1612
8,29,36,78,0.462,8,20,0.4,12,15,0.8,7,28,35,27,6,9,11,18,1622
8,30,47,91,0.516,10,22,0.455,26,32,0.813,16,31,47,33,12,4,16,27,1623
8,31,39,85,0.459,3,17,0.176,32,42,0.762,12,34,46,22,10,6,10,18,1629
8,32,33,67,0.493,8,20,0.4,26,33,0.788,7,34,41,18,7,5,13,24,1635
